BTC,https://api.coingecko.com/api/v3/simple/price?ids=bitcoin&vs_currencies=usd,99605
ETH,https://api.coingecko.com/api/v3/simple/price?ids=ethereum&vs_currencies=usd,3433.75
SOL,https://api.coingecko.com/api/v3/simple/price?ids=solana&vs_currencies=usd,202.87
DOGE,https://api.coingecko.com/api/v3/simple/price?ids=dogecoin&vs_currencies=usd,0.375884
PEPE,https://api.coingecko.com/api/v3/simple/price?ids=pepe&vs_currencies=usd,0.00001862
TAO,https://api.coingecko.com/api/v3/simple/price?ids=bittensor&vs_currencies=usd,451.73
FATTY,https://api.coingecko.com/api/v3/simple/price?ids=fatty&vs_currencies=usd,0.034108779
Zero,https://api.coingecko.com/api/v3/simple/price?ids=zerebro&vs_currencies=usd,0.309926
Goat,https://api.coingecko.com/api/v3/simple/price?ids=goatseus-maximus&vs_currencies=usd,0.374035
SUI,https://api.coingecko.com/api/v3/simple/price?ids=sui&vs_currencies=usd,4.75
MNT,https://api.coingecko.com/api/v3/simple/price?ids=mantle&vs_currencies=usd,1.14
BONE,https://api.coingecko.com/api/v3/simple/price?ids=bone-shibaswap&vs_currencies=usd,0.461364
ALGO,https://api.coingecko.com/api/v3/simple/price?ids=algorand&vs_currencies=usd,1
USDT,https://api.coingecko.com/api/v3/simple/price?ids=tether&vs_currencies=usd,0.444227
RENDER,https://api.coingecko.com/api/v3/simple/price?ids=render-token&vs_currencies=usd,7.438432659
AIXBT,https://api.coingecko.com/api/v3/simple/price?ids=aixbt-by-virtuals&vs_currencies=usd,0.061508
BERRY,https://api.coingecko.com/api/v3/simple/price?ids=strawberry-arnold&vs_currencies=usd,0.880514
GARRY,https://api.coingecko.com/api/v3/simple/price?ids=garry-the-dog&vs_currencies=usd,0.320915
BULLY,https://api.coingecko.com/api/v3/simple/price?ids=dolos-the-bully&vs_currencies=usd,0.00002754
SHIRO,https://api.coingecko.com/api/v3/simple/price?ids=shiro-neko-2&vs_currencies=usd,9.0381E-08
